taxon	SRS013506	SRS013506_filtered	SRS014475	SRS014475_filtered	SRS014689	SRS014689_filtered	SRS019352	SRS019352_filtered	SRS050029	SRS050029_filtered	SRS054569	SRS054569_filtered	SRS056042	SRS056042_filtered	SRS065335	SRS065335_filtered	SRS097885	SRS097885_filtered	SRS098585	SRS098585_filtered	SRS1041031	SRS1041031_filtered	SRS1041129	SRS1041129_filtered	SRS104912	SRS104912_filtered	SRS105082	SRS105082_filtered	SRS142957	SRS142957_filtered	SRS143032	SRS143032_filtered	SRS143776	SRS143776_filtered	SRS144378	SRS144378_filtered	SRS146847	SRS146847_filtered	SRS147088	SRS147088_filtered	camisim_SRS013506_filtered	camisim_SRS014475_filtered	camisim_SRS014689_filtered	camisim_SRS019352_filtered	camisim_SRS050029_filtered	camisim_SRS054569_filtered	camisim_SRS056042_filtered	camisim_SRS065335_filtered	camisim_SRS097885_filtered	camisim_SRS098585_filtered	camisim_SRS1041031_filtered	camisim_SRS1041129_filtered	camisim_SRS104912_filtered	camisim_SRS105082_filtered	camisim_SRS142957_filtered	camisim_SRS143032_filtered	camisim_SRS143776_filtered	camisim_SRS144378_filtered	camisim_SRS146847_filtered	camisim_SRS147088_filtered	mess_SRS013506_filtered	mess_SRS014475_filtered	mess_SRS014689_filtered	mess_SRS019352_filtered	mess_SRS050029_filtered	mess_SRS054569_filtered	mess_SRS056042_filtered	mess_SRS065335_filtered	mess_SRS097885_filtered	mess_SRS098585_filtered	mess_SRS1041031_filtered	mess_SRS1041129_filtered	mess_SRS104912_filtered	mess_SRS105082_filtered	mess_SRS142957_filtered	mess_SRS143032_filtered	mess_SRS143776_filtered	mess_SRS144378_filtered	mess_SRS146847_filtered	mess_SRS147088_filtered
28132	23648	23648	9147	9147	870439	870439	2913	2913	16993	16993	10742	10742	9365	9365	201097	201097	3	0	1007	1007	442	442	229	229	41883	41883	2703	2703	36	0	10586	10586	1	0	4969	4969	13	0	409519	409519	24045	9014	881932	2860	16856	11086	9601	205519	0	988	464	273	43319	3428	0	10351	0	4886	0	410292	24105	9419	883412	2900	17181	11120	9351	205442	0	1012	471	274	42539	2834	0	10528	0	4942	0	410720
1305	22591	22591	620	620	2854	2854	31371	31371	8659	8659	54313	54313	9599	9599	625	625	695	695	546	546	66	0	50	0	262	262	114	0	3	0	65	0	1	0	431	431	101	0	18344	18344	21623	593	3000	29369	8766	51443	8976	619	631	518	0	0	249	0	0	0	0	434	0	17528	21584	589	2978	29454	8851	51484	8981	622	665	514	0	0	241	0	0	0	0	442	0	17510
652716	21639	21639	959	959	13658	13658	324	324	15911	15911	26537	26537	5223	5223	45770	45770	0	0	475	475	48	0	1	0	7671	7671	665	665	7	0	236	236	0	0	200	200	1	0	2246	2246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
712435	20948	20948	219	219	1325	1325	3249	3249	42679	42679	17340	17340	848	848	13151	13151	1	0	232	232	71	0	29	0	2598	2598	446	446	0	0	2	0	0	0	386	386	0	0	2193	2193	20918	218	1323	3244	42662	17330	846	13116	0	230	0	0	2602	446	0	0	0	382	0	2195	20940	219	1324	3246	42672	17337	846	13145	0	232	0	0	2602	451	0	0	0	386	0	2195
712633	20280	20280	1696	1696	45195	45195	1803	1803	41880	41880	77384	77384	3676	3676	22247	22247	3	0	112	0	8	0	86	0	53	0	11	0	4	0	308	308	0	0	1310	1310	230	230	4307	4307	20964	1677	45098	2016	42246	77749	3763	21914	0	0	0	0	0	0	0	304	0	1304	225	4348	21007	1697	45051	1995	42152	77707	3702	21931	0	0	0	0	0	0	0	298	0	1309	234	4383
487	20064	20064	214663	214663	37	0	1962	1962	2822	2822	11126	11126	421	421	8499	8499	6	0	24	0	92	0	33	0	132	0	121	0	0	0	23	0	0	0	52659	52659	0	0	8860	8860	21925	207925	0	2301	4047	14225	788	11542	0	0	0	0	0	0	0	0	0	50994	0	10742	22470	209144	0	2217	3860	14705	1220	11628	0	0	0	0	0	0	0	0	0	51241	0	10799
490	18523	18523	431	431	28	0	7356	7356	49793	49793	26282	26282	2548	2548	12135	12135	74	0	177	0	54	0	8	0	352	352	167	0	2	0	186	0	0	0	539	539	0	0	63391	63391	18514	571	0	7386	52217	34187	6848	22078	0	0	0	0	363	0	0	0	0	533	0	67508	18596	603	0	7497	51914	35088	7254	20292	0	0	0	0	361	0	0	0	0	566	0	67412
2937985	16488	16488	640	640	41	0	700	700	698	698	1732	1732	47	0	1119	1119	0	0	6	0	7	0	0	0	45	0	2	0	0	0	6	0	0	0	1606	1606	0	0	726	726	15774	843	0	657	772	1991	0	1308	0	0	0	0	0	0	0	0	0	1448	0	847	15716	891	0	701	788	1976	0	1313	0	0	0	0	0	0	0	0	0	1534	0	797
1177574	16013	16013	3252	3252	405890	405890	418	418	2342	2342	1715	1715	3231	3231	110240	110240	1	0	571	571	1260	1260	1380	1380	16977	16977	3162	3162	20	0	6682	6682	1	0	3255	3255	14	0	15496	15496	15797	3248	396775	414	2394	1687	3112	107493	0	586	1284	1392	16657	3095	0	6623	0	3185	0	15858	15862	3166	396451	427	2287	1698	3246	107824	0	576	1238	1416	16726	3179	0	6695	0	3258	0	15763
1304	15860	15860	3373	3373	260299	260299	1355	1355	9870	9870	22599	22599	4121	4121	22249	22249	6	0	264	264	434	434	70	0	271	271	163	0	7	0	1930	1930	1	0	11430	11430	64	0	44723	44723	14818	3275	260037	1473	10839	21529	4000	22249	0	244	397	0	289	0	0	1931	0	10351	0	46395	15023	3276	261077	1487	10728	21513	3873	22545	0	258	423	0	253	0	0	1904	0	10537	0	47202
