task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
40	35/e0ea9c	83613	RUN:CAMISIM:SIMULATE (20)	COMPLETED	0	2024-09-19 01:28:59.288	15m 30s	15m 3s	122.5%	38.6 GB	50.8 GB	9 GB	9.1 GB
89	a5/10c66c	83662	RUN:CAMISIM:CAT_FASTQ (20)	COMPLETED	0	2024-09-19 01:44:29.258	5s	61ms	102.1%	0	0	72.9 MB	72.7 MB
44	d5/47aa6c	83617	RUN:CAMISIM:SIMULATE (7)	COMPLETED	0	2024-09-19 01:28:59.319	15m 35s	11m 27s	106.7%	38.7 GB	50.7 GB	4.7 GB	3.9 GB
91	f3/7f8a5c	83663	RUN:CAMISIM:CAT_FASTQ (7)	COMPLETED	0	2024-09-19 01:44:34.256	30s	39ms	86.2%	0	0	39.5 MB	39.4 MB
90	ab/8e5a29	83664	RUN:CAMISIM:SEQKIT_SORT (20)	COMPLETED	0	2024-09-19 01:44:34.266	35s	2s	167.8%	666 MB	1.8 GB	72.8 MB	143.9 MB
92	da/97552d	83665	RUN:CAMISIM:SEQKIT_SORT (7)	COMPLETED	0	2024-09-19 01:45:04.257	30s	1s	161.2%	2 MB	1.2 GB	39.5 MB	77.9 MB
93	56/b87ae7	83666	RUN:CAMISIM:SEQKIT_SPLIT2 (20)	COMPLETED	0	2024-09-19 01:45:09.258	25s	1s	326.1%	3 MB	1.2 GB	144 MB	66.3 MB
94	e5/2c5a78	83667	RUN:CAMISIM:SEQKIT_SPLIT2 (7)	COMPLETED	0	2024-09-19 01:45:34.259	30s	1s	300.5%	2 MB	1.2 GB	78 MB	35.9 MB
52	c4/56c8d1	83625	RUN:CAMISIM:SIMULATE (6)	COMPLETED	0	2024-09-19 01:29:34.223	20m 10s	8m 17s	108.5%	38.7 GB	50.7 GB	4.3 GB	3.4 GB
95	c8/23e6f9	83668	RUN:CAMISIM:CAT_FASTQ (6)	COMPLETED	0	2024-09-19 01:49:44.269	20s	32ms	76.5%	0	0	35.2 MB	35 MB
96	b2/be656e	83669	RUN:CAMISIM:SEQKIT_SORT (6)	COMPLETED	0	2024-09-19 01:50:04.269	30s	1s	162.3%	3 MB	1.2 GB	35.1 MB	69.2 MB
97	17/01b713	83670	RUN:CAMISIM:SEQKIT_SPLIT2 (6)	COMPLETED	0	2024-09-19 01:50:34.270	30s	1s	299.0%	1 MB	1.2 GB	69.3 MB	31.9 MB
49	28/c8fa30	83622	RUN:CAMISIM:SIMULATE (10)	COMPLETED	0	2024-09-19 01:29:24.232	21m 55s	12m 51s	109.1%	38.7 GB	50.7 GB	5.4 GB	4.7 GB
98	45/689e72	83671	RUN:CAMISIM:CAT_FASTQ (10)	COMPLETED	0	2024-09-19 01:51:19.274	15s	41ms	106.0%	0	0	45.1 MB	45 MB
99	57/821dce	83672	RUN:CAMISIM:SEQKIT_SORT (10)	COMPLETED	0	2024-09-19 01:51:34.271	30s	2s	173.8%	622 MB	1.8 GB	45.1 MB	89.1 MB
100	68/076acb	83673	RUN:CAMISIM:SEQKIT_SPLIT2 (10)	COMPLETED	0	2024-09-19 01:52:04.273	30s	1s	310.1%	2 MB	1.2 GB	89.2 MB	41 MB
55	b8/1277bc	83628	RUN:CAMISIM:SIMULATE (40)	COMPLETED	0	2024-09-19 01:29:59.223	57m 40s	43m 9s	128.4%	38.8 GB	50.8 GB	23.8 GB	29.6 GB
101	6e/b75724	83674	RUN:CAMISIM:CAT_FASTQ (40)	COMPLETED	0	2024-09-19 02:27:39.339	5s	143ms	94.2%	4 MB	23 MB	173.5 MB	173.4 MB
102	55/178736	83675	RUN:CAMISIM:SEQKIT_SORT (40)	COMPLETED	0	2024-09-19 02:27:44.333	10s	5s	202.9%	2.1 GB	3.3 GB	173.5 MB	343.5 MB
103	e4/f640ac	83676	RUN:CAMISIM:SEQKIT_SPLIT2 (40)	COMPLETED	0	2024-09-19 02:27:54.331	5s	2s	356.2%	68 MB	1.3 GB	343.6 MB	157.9 MB
61	03/86c0f1	83634	RUN:CAMISIM:SIMULATE (80)	COMPLETED	0	2024-09-19 01:31:34.229	1h 28m 45s	1h 15m 45s	156.0%	38.9 GB	51.1 GB	59.2 GB	89 GB
104	96/fe4edf	83677	RUN:CAMISIM:CAT_FASTQ (80)	COMPLETED	0	2024-09-19 03:00:19.392	5s	257ms	102.7%	4 MB	23 MB	337.4 MB	337.3 MB
105	0a/ba58eb	83678	RUN:CAMISIM:SEQKIT_SORT (80)	COMPLETED	0	2024-09-19 03:00:24.386	15s	11s	215.4%	4.1 GB	5.3 GB	337.3 MB	669.8 MB
